Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240402054730-20240402064502,20240325000000-20240328000000,2024-04-02 06:43:02,VALCCG:D01_L22:PRES,8.06e-08,1.00e-08,8.51e+02,3.562e-08,2.09e-07,2.09e-07,1.93e-07,1.25e-07,1.13e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.19e-11,1.23e-13,1.79e-07,1.00e-08,2.46e-08,0.00e+00
20240402064530-20240402083714,20240325000000-20240328000000,2024-04-02 08:35:14,VALCCG:D01_L22:PRES,8.02e-08,1.00e-08,8.51e+02,3.562e-08,2.25e-07,2.20e-07,1.97e-07,1.25e-07,1.17e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.96e-11,1.18e-13,1.75e-07,1.00e-08,2.08e-08,0.00e+00
20240402064530-20240402093428,20240325000000-20240328000000,2024-04-02 09:32:28,VALCCG:D01_L22:PRES,8.02e-08,1.00e-08,8.51e+02,3.562e-08,2.25e-07,2.20e-07,1.97e-07,1.25e-07,1.17e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.96e-11,1.18e-13,1.75e-07,1.00e-08,2.08e-08,0.00e+00
20240402064530-20240402115707,20240325000000-20240328000000,2024-04-02 11:55:07,VALCCG:D01_L22:PRES,8.09e-08,1.00e-08,8.51e+02,3.562e-08,2.25e-07,2.20e-07,1.90e-07,1.25e-07,1.09e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,2.62e-11,8.76e-14,1.72e-07,1.00e-08,2.76e-08,0.00e+00
20240402064530-20240402143015,20240325000000-20240328000000,2024-04-02 14:28:15,VALCCG:D01_L22:PRES,8.12e-08,1.00e-08,8.51e+02,3.562e-08,2.25e-07,2.20e-07,1.87e-07,1.25e-07,1.06e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,2.55e-11,1.00e-13,1.72e-07,1.00e-08,2.82e-08,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D01_L22:PRES,7.84e-08,1.00e-08,9.04e+02,3.562e-08,2.35e-07,2.35e-07,1.91e-07,1.31e-07,1.13e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.20e-11,1.94e-13,1.72e-07,1.00e-08,2.94e-08,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D03_L11A:PRES,3.18e-08,1.00e-08,9.04e+02,3.882e-08,1.03e-07,1.03e-07,5.35e-08,3.08e-08,3.04e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.25e-15,2.98e-08,0.00e+00,4.05e-13,2.91e-08,1.00e-08,3.28e-08,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D05_L24:PRES,2.29e-07,2.80e-08,9.04e+02,1.315e-07,1.23e-06,1.23e-06,4.49e-07,5.64e-07,3.21e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.99e-12,8.13e-08,0.00e+00,6.18e-12,7.78e-08,1.49e-07,5.24e-07,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D05_L25:PRES,8.80e-07,1.38e-08,9.04e+02,7.969e-08,3.54e-06,3.54e-06,6.41e-07,2.83e-07,1.59e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.03e-12,3.71e-08,0.00e+00,1.03e-11,2.25e-08,5.84e-07,2.33e-06,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D05_L26:PRES,1.25e-06,1.02e-08,9.04e+02,4.776e-08,1.32e-05,1.32e-05,7.17e-07,3.10e-07,2.00e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.81e-12,9.08e-08,6.91e-10,5.65e-12,1.00e-09,1.04e-06,1.21e-05,0.00e+00
